account_open_date,age,location,occupation,income_level,fico_score,delinquency_status,charge_off_status,number_of_credit_applications,debt_to_income_ratio,payment_methods_high_risk,max_balance,avg_balance_last_12months,number_of_delinquent_accounts,number_of_defaulted_accounts,earliest_credit_account,recent_trade_activity,new_accounts_opened_last_12months,multiple_applications_short_time_period,unusual_submission_pattern,applications_submitted_during_odd_hours,watchlist_blacklist_flag,public_records_flag
11/9/2023,56,Los Angeles,Teacher,40099,424,108,TRUE,10,3.139571893,FALSE,18209.38314,4324.930673,4,2,9/11/2018,3/7/2024,3,TRUE,TRUE,FALSE,FALSE,TRUE
9/11/2022,69,New York,Engineer,2050,483,0,FALSE,1,1.017488808,FALSE,33673.6965,21726.59392,3,2,3/8/2023,1/28/2024,3,FALSE,TRUE,FALSE,FALSE,FALSE
7/12/2020,46,Miami,Engineer,71936,566,0,FALSE,1,1.508625818,FALSE,101918.1742,63930.10225,2,0,4/26/2024,10/3/2024,2,FALSE,FALSE,FALSE,FALSE,FALSE
8/13/2024,32,Houston,Banker,15833,,97,TRUE,5,2.995149852,FALSE,9055.101659,3033.403742,3,1,9/14/2023,10/14/2024,4,FALSE,TRUE,TRUE,FALSE,FALSE
7/27/2024,60,Houston,Lawyer,8574,787,0,FALSE,1,1.182379669,FALSE,91682.85204,77457.38702,,0,11/8/2022,9/2/2024,0,TRUE,FALSE,TRUE,FALSE,FALSE
3/6/2022,25,Chicago,Teacher,59349,688,0,FALSE,1,1.12119589,TRUE,91705.65065,78392.24519,0,0,11/18/2018,3/19/2024,0,FALSE,FALSE,TRUE,FALSE,FALSE
10/26/2023,38,Los Angeles,Banker,6925,740,0,FALSE,1,1.659631073,FALSE,29940.71407,24486.0935,0,0,3/1/2022,1/4/2024,0,FALSE,FALSE,TRUE,FALSE,FALSE
10/29/2020,56,Dallas,Accountant,25139,563,0,FALSE,1,0.876579656,FALSE,56872.14948,,1,1,9/11/2022,11/21/2023,2,FALSE,,FALSE,FALSE,FALSE
9/10/2022,36,Los Angeles,Other,6197,758,22,FALSE,1,1.008079801,FALSE,60627.64049,50566.24897,,0,7/25/2022,10/2/2024,3,FALSE,FALSE,TRUE,FALSE,TRUE
3/1/2021,40,Seattle,Banker,4262,518,100,TRUE,3,1.941141724,FALSE,28726.57966,6100.624275,4,2,6/15/2019,4/8/2024,3,TRUE,FALSE,FALSE,FALSE,TRUE
4/9/2020,28,Atlanta,Retail Worker,10495,692,0,FALSE,1,1.38816679,FALSE,101381.5346,76615.51935,0,0,7/8/2019,3/19/2024,4,FALSE,FALSE,FALSE,TRUE,TRUE
11/20/2019,28,New York,Consultant,15932,791,0,FALSE,1,2.091943057,FALSE,47774.68273,39534.30512,0,0,12/29/2015,8/31/2024,0,TRUE,FALSE,FALSE,FALSE,FALSE
9/28/2024,41,New York,Lawyer,46654,458,0,FALSE,1,0.902211602,FALSE,67595.24603,64187.48323,4,1,10/10/2020,6/12/2024,3,TRUE,FALSE,FALSE,FALSE,FALSE
4/21/2020,70,Los Angeles,Other,5870,574,1,TRUE,1,1.16771022,FALSE,85745.75536,56829.25293,2,1,1/9/2017,12/3/2023,1,FALSE,FALSE,TRUE,FALSE,TRUE
3/19/2023,53,Houston,Accountant,27455,470,105,FALSE,8,0.822817995,FALSE,1719.847854,807.6961255,4,2,2/18/2022,9/20/2024,4,TRUE,TRUE,FALSE,FALSE,FALSE
1/24/2020,57,Houston,Banker,5682,687,0,FALSE,1,1.132462889,FALSE,12080.6804,8971.746586,0,0,8/31/2019,3/31/2024,0,FALSE,FALSE,FALSE,FALSE,FALSE
7/24/2022,41,Dallas,Teacher,58901,557,110,TRUE,2,1.518563181,TRUE,6177.967069,2131.94213,,2,3/2/2024,3/12/2024,1,TRUE,,TRUE,FALSE,FALSE
10/31/2023,20,Atlanta,Accountant,16310,422,1,FALSE,1,1.404233698,FALSE,64434.60916,51612.80645,4,2,4/22/2021,9/21/2024,4,TRUE,,FALSE,FALSE,FALSE
2/16/2022,39,New York,Accountant,3454,604,0,FALSE,1,1.150563873,FALSE,33348.17292,21576.86929,0,0,2/25/2022,5/12/2024,0,FALSE,FALSE,FALSE,FALSE,FALSE
10/16/2022,70,Dallas,Other,9162,545,0,FALSE,1,1.465333762,FALSE,73440.9538,50198.42743,1,0,9/19/2019,10/2/2024,1,FALSE,FALSE,FALSE,FALSE,FALSE
1/9/2024,19,Houston,Doctor,91104,677,0,FALSE,1,0.981162353,FALSE,47392.87627,,0,0,2/10/2018,12/25/2023,4,FALSE,FALSE,TRUE,FALSE,TRUE
4/4/2021,41,Dallas,Software Developer,72993,672,39,FALSE,2,1.169071847,FALSE,50485.28776,,1,0,6/11/2015,10/7/2024,0,TRUE,FALSE,FALSE,FALSE,FALSE
4/9/2023,61,Atlanta,Other,7423,714,10,FALSE,1,1.820369112,FALSE,58055.27183,46396.82484,0,0,1/3/2015,2/1/2024,0,FALSE,FALSE,TRUE,FALSE,FALSE
3/31/2021,47,Houston,Other,2123,,0,FALSE,1,0.791201592,FALSE,73608.55673,,0,0,3/31/2019,12/23/2023,0,FALSE,FALSE,TRUE,FALSE,FALSE
11/21/2022,55,Boston,Teacher,35967,393,97,TRUE,5,2.968236933,TRUE,11614.97306,3538.799918,3,1,10/27/2019,2/2/2024,3,FALSE,FALSE,TRUE,FALSE,FALSE
11/26/2020,19,Houston,Artist,18274,610,0,FALSE,1,2.209266427,FALSE,56178.33053,54674.20375,0,0,5/21/2024,4/11/2024,0,FALSE,FALSE,TRUE,FALSE,FALSE
2/24/2020,38,Miami,Accountant,19858,582,0,FALSE,1,1.247786815,TRUE,23343.26976,21732.64577,1,1,6/26/2021,6/18/2024,2,FALSE,,FALSE,TRUE,FALSE
10/15/2022,50,New York,Other,5109,465,101,TRUE,4,2.473849223,FALSE,12486.24185,5151.42547,4,2,5/20/2016,12/4/2023,4,FALSE,FALSE,TRUE,FALSE,FALSE
11/20/2021,29,Atlanta,Teacher,36972,714,0,FALSE,1,0.86845157,FALSE,79132.17884,55529.29579,0,0,4/16/2019,11/10/2023,0,FALSE,FALSE,TRUE,FALSE,FALSE
3/9/2020,39,Atlanta,Doctor,66881,570,56,FALSE,1,0.930557781,FALSE,19548.23574,,2,1,11/23/2017,3/7/2024,2,FALSE,FALSE,FALSE,FALSE,FALSE
9/9/2024,61,San Francisco,Consultant,16904,501,0,FALSE,1,1.204291122,FALSE,72187.65645,55024.90267,2,1,1/6/2016,6/8/2024,2,FALSE,FALSE,FALSE,FALSE,FALSE
11/7/2019,42,Miami,Teacher,35762,488,0,FALSE,1,1.933065208,FALSE,87309.03955,50756.3739,3,2,8/10/2017,11/30/2023,3,FALSE,FALSE,FALSE,TRUE,FALSE
4/17/2023,66,Chicago,Artist,13697,747,1,FALSE,1,1.361047351,FALSE,57269.66661,,0,0,2/18/2017,3/31/2024,4,FALSE,FALSE,FALSE,TRUE,TRUE
2/9/2020,44,Houston,Accountant,31500,310,90,FALSE,6,1.977127873,FALSE,8177.832046,1791.00414,3,2,5/19/2021,3/11/2024,4,TRUE,FALSE,TRUE,FALSE,TRUE
1/17/2022,59,San Francisco,Accountant,29161,651,0,FALSE,1,1.758605848,FALSE,93261.06401,57494.12906,0,0,10/2/2021,6/25/2024,0,FALSE,FALSE,FALSE,FALSE,FALSE
12/5/2019,45,Los Angeles,Accountant,23444,772,28,FALSE,1,1.057147403,FALSE,54848.9866,40397.04437,0,0,4/27/2015,10/7/2024,0,FALSE,FALSE,FALSE,FALSE,FALSE
8/15/2023,33,Atlanta,Banker,5795,713,0,FALSE,1,0.938034361,FALSE,37506.40443,32534.9285,0,0,1/8/2015,9/27/2024,0,FALSE,FALSE,FALSE,FALSE,FALSE
9/5/2022,32,Atlanta,Teacher,36305,588,0,TRUE,1,1.528867806,FALSE,83803.6239,62200.4707,2,1,9/22/2019,9/16/2024,1,FALSE,FALSE,FALSE,FALSE,FALSE
9/8/2022,64,Los Angeles,Banker,7921,573,0,TRUE,1,1.11968434,FALSE,24122.7101,18784.1262,1,0,3/26/2022,12/28/2023,1,FALSE,FALSE,FALSE,FALSE,FALSE
2/29/2020,68,Miami,Other,8785,712,0,TRUE,1,1.132605221,FALSE,84846.30203,52999.12945,0,0,8/5/2017,7/11/2024,0,FALSE,FALSE,FALSE,FALSE,FALSE
2/24/2021,61,San Francisco,Consultant,14661,376,98,TRUE,2,1.437552354,TRUE,22491.14054,5547.579148,3,1,3/6/2020,6/11/2024,3,TRUE,FALSE,FALSE,TRUE,FALSE
8/4/2024,72,Seattle,Teacher,28527,731,0,FALSE,1,1.745769234,FALSE,101205.6519,60504.39683,0,0,5/17/2024,1/11/2024,0,FALSE,FALSE,FALSE,FALSE,FALSE
1/15/2024,69,Miami,Teacher,52122,553,0,FALSE,1,0.972636549,FALSE,70141.96079,43887.47688,2,0,11/30/2018,1/8/2024,2,FALSE,FALSE,FALSE,FALSE,FALSE
5/30/2020,74,New York,Lawyer,68273,754,0,FALSE,1,1.246634006,FALSE,31148.12723,23608.5158,0,0,3/26/2018,11/25/2023,0,TRUE,FALSE,FALSE,FALSE,FALSE
6/21/2023,20,Boston,Banker,46085,578,0,FALSE,1,1.270423856,FALSE,29164.61472,16461.96607,,1,3/3/2015,4/5/2024,2,FALSE,FALSE,TRUE,FALSE,FALSE
11/29/2023,54,Dallas,Accountant,16354,527,112,FALSE,1,2.739364956,TRUE,16086.876,4810.330672,4,1,2/16/2017,4/16/2024,2,TRUE,TRUE,FALSE,FALSE,FALSE
11/23/2021,68,Los Angeles,Banker,6094,646,0,TRUE,1,0.91821929,FALSE,96098.23984,78184.3548,0,0,4/18/2020,9/22/2024,0,FALSE,,FALSE,FALSE,FALSE
4/15/2021,24,Atlanta,Teacher,59938,433,106,FALSE,3,1.950109842,TRUE,49390.69068,9033.649084,3,2,12/26/2014,5/8/2024,3,FALSE,TRUE,TRUE,TRUE,FALSE
9/30/2020,38,Los Angeles,Doctor,29388,777,0,FALSE,1,1.629672536,FALSE,16902.09402,15358.12123,0,0,10/30/2014,7/7/2024,0,FALSE,FALSE,TRUE,FALSE,FALSE
6/16/2020,26,Dallas,Accountant,20900,504,93,TRUE,2,1.69120191,FALSE,32427.95297,8679.096399,3,1,9/26/2015,8/7/2024,2,TRUE,TRUE,FALSE,FALSE,TRUE
2/7/2020,56,Miami,Banker,6711,413,0,FALSE,1,1.598634951,FALSE,72140.53669,45306.30949,3,2,11/24/2016,4/20/2024,3,FALSE,,TRUE,FALSE,FALSE
8/1/2022,35,Seattle,Teacher,39262,537,0,FALSE,1,1.260574916,TRUE,59820.19622,37832.9501,,0,5/9/2015,5/31/2024,3,FALSE,FALSE,FALSE,FALSE,TRUE
2/25/2024,21,Houston,Banker,7602,639,0,FALSE,1,1.506608278,FALSE,59032.83052,47873.72155,0,0,12/27/2014,1/10/2024,0,TRUE,FALSE,TRUE,FALSE,FALSE
5/22/2022,42,Seattle,Lawyer,57464,797,0,FALSE,1,0.969772638,FALSE,36522.12817,25960.98537,0,0,9/27/2020,8/9/2024,0,FALSE,FALSE,FALSE,FALSE,FALSE
3/24/2024,31,Houston,Other,5598,,0,FALSE,2,1.167099164,FALSE,51758.12482,41650.36783,0,0,11/26/2022,2/18/2024,0,FALSE,FALSE,FALSE,FALSE,FALSE
5/25/2023,67,Los Angeles,Other,2576,356,92,TRUE,2,2.657964673,TRUE,21857.29769,11597.3079,,1,8/6/2023,5/25/2024,4,FALSE,TRUE,TRUE,FALSE,FALSE
3/17/2024,26,New York,Retail Worker,17227,803,0,FALSE,1,1.579971437,FALSE,38867.92368,22379.05276,0,0,1/24/2018,9/27/2024,0,FALSE,FALSE,FALSE,FALSE,FALSE
10/17/2021,43,Houston,Artist,51687,800,0,FALSE,1,1.142881947,FALSE,24729.5835,16204.2023,0,0,9/16/2018,4/10/2024,0,FALSE,FALSE,TRUE,FALSE,FALSE
1/23/2024,70,Miami,Accountant,21798,450,104,TRUE,2,1.343577744,FALSE,37741.63016,17874.95363,4,1,8/20/2016,12/30/2023,3,TRUE,FALSE,TRUE,FALSE,TRUE
7/29/2023,19,Atlanta,Software Developer,71012,547,0,FALSE,1,1.652366943,TRUE,32193.23442,21121.95402,1,1,3/23/2017,1/11/2024,1,TRUE,TRUE,TRUE,FALSE,TRUE
10/3/2021,37,Houston,Banker,8233,746,0,FALSE,1,1.632684313,FALSE,89133.90908,76087.12567,0,0,4/15/2021,1/24/2024,3,FALSE,FALSE,FALSE,FALSE,TRUE
11/12/2021,45,Los Angeles,Other,5182,680,0,FALSE,2,1.06275798,TRUE,20273.30176,12861.9479,0,0,6/17/2021,3/11/2024,0,FALSE,FALSE,TRUE,FALSE,FALSE
8/31/2020,64,Atlanta,Banker,2390,710,0,FALSE,1,0.790940075,FALSE,46607.41463,,0,0,6/24/2021,6/29/2024,0,FALSE,FALSE,FALSE,FALSE,FALSE
5/1/2022,24,Miami,Other,5193,644,0,FALSE,1,0.880893128,FALSE,28945.46407,20585.13399,0,0,7/22/2024,8/25/2024,0,FALSE,FALSE,TRUE,FALSE,FALSE
10/5/2024,61,Boston,Accountant,29800,561,0,FALSE,1,0.96808573,FALSE,57191.45456,43382.20141,2,1,2/10/2024,7/14/2024,2,FALSE,FALSE,FALSE,TRUE,FALSE
2/12/2020,25,San Francisco,Teacher,47480,686,2,FALSE,1,1.612494821,FALSE,46310.24689,35621.91597,0,0,9/20/2020,9/1/2024,0,FALSE,,FALSE,FALSE,FALSE
