age,income_level,fico_score,delinquency_status,number_of_credit_applications,debt_to_income_ratio,payment_methods_high_risk,max_balance,avg_balance_last_12months,number_of_delinquent_accounts,number_of_defaulted_accounts,new_accounts_opened_last_12months,multiple_applications_short_time_period,unusual_submission_pattern,applications_submitted_during_odd_hours,watchlist_blacklist_flag,public_records_flag,account_age_days,credit_history_length,location_encoded,occupation_encoded,charge_off_status
33,48454,719.0,0,1,1.27063833,0,93981.64798,55407.52161,0,0,0,0,0,0,0,0,1274,566,1,6,0
20,52467,404.0,94,8,1.549684199,1,30633.91286,11975.53474,3,2,4,1,1,0,0,0,813,380,1,10,1
62,5777,790.0,0,1,2.536890005,1,88730.55986,54101.28209,0,0,0,1,0,0,0,0,1393,3037,3,7,0
28,8715,530.0,0,1,1.612346174,0,51115.72509,35304.13972,1,0,1,0,0,1,0,0,948,2887,8,7,0
40,23440,624.0,0,1,0.918553453,0,66592.17178,42156.14981,0,0,0,0,0,0,0,0,108,882,9,10,0
64,33617,466.0,73,4,1.699165254,0,30815.33373,24627.28724,2,1,3,0,1,0,0,0,1777,3187,5,10,1
41,4595,760.0,0,1,2.261338237,0,98192.19717,62493.53049,0,0,0,0,0,0,0,0,1600,2489,1,2,0
63,19619,628.0,0,1,1.064211683,0,87403.69627,77660.7599,0,0,0,0,0,0,0,0,226,986,2,10,0
34,18632,785.0,0,1,1.008670268,0,55422.18234,41500.63576,0,0,0,0,0,1,0,0,359,379,7,1,0
32,36263,788.0,0,1,0.728868663,0,66919.8632,47764.46609,0,0,0,1,0,0,0,0,571,2165,4,0,0
59,49222,538.0,104,3,1.717786305,1,8334.400796,2804.162242,4,1,1,1,1,1,0,0,1101,2384,1,10,1
20,5512,828.0,0,1,1.844903788,0,58886.31814,60278.9749,0,0,0,1,0,0,0,0,1773,3235,3,7,0
64,2390,710.0,0,1,0.790940075,0,46607.41463,43001.917433999995,0,0,0,0,0,0,0,0,1555,1101,0,2,0
29,16884,374.0,99,4,2.60055061,1,3963.56317,1382.302176,4,2,3,0,0,1,0,0,923,3337,2,0,1
